pctile,inc3_mean,tax_mean,transfer_mean,pubpension_mean,hil_mean,hxit_mean,hxits_mean,hsscer_mean,taxrate_mean,countryyear
27,23235.37,7526.806,3067.46,2333.896,10120.69,173.4105,2717.931,4473.236,.3239837,fr00
28,23763.77,8140.387,3690.461,1132.13,10786.34,242.2249,2896.693,4903.784,.3426075,fr00
29,24197.37,7879.832,3634.109,1962.432,10474.4,172.0503,2812.913,4773.555,.3256716,fr00
30,24671.24,8156.511,3372.888,2196.038,10701.88,253.8314,2874.021,4864.861,.3305652,fr00
31,25058.26,8661.64,3056.311,1475.671,11952.57,201.8336,3209.881,5166.103,.3457052,fr00
32,25481.71,8670.505,4053.583,1211.839,11207.53,291.1239,3009.82,5263.692,.3402753,fr00
33,25997.6,8951.632,3941.833,1234.645,11786.88,289.1298,3165.406,5411.792,.3442646,fr00
34,26507.43,8553.821,3639.021,2596.492,11468.21,180.4187,3079.823,5114.345,.3227733,fr00
35,27052.45,9664.997,3128.062,2032.139,12183.53,268.1546,3271.937,5961.227,.3573389,fr00
36,27641.63,10318.06,2857.51,1139.91,13357.56,234.2528,3587.119,6408.976,.3732049,fr00
37,28136.59,10256.2,2912.647,1465.92,13468.97,272.6756,3615.937,6250.063,.3644793,fr00
38,28668.86,10311.88,3560.718,1590.127,13337.76,340.659,3580.791,6295.714,.3596813,fr00
39,29083.41,11037.37,2592.838,1219.945,14264.22,282.9131,3829.128,6829.664,.3795453,fr00
40,29508.04,11056.31,2430.83,1992.604,14017.16,436.0852,3762.318,6694.104,.3746584,fr00
41,29949.3,11525.13,3198.263,471.6205,14784.07,253.824,3967.375,7252.817,.3848678,fr00
42,30422.8,10953.78,2791.476,2514.056,14172.5,407.2946,3804.295,6579.606,.3601061,fr00
43,30936.04,11946.53,2613.088,1510.83,14781.33,391.7186,3965.55,7442.735,.3861842,fr00
44,31478.02,12126.58,2055.77,1604.432,15628.78,323.5479,4192.033,7488.045,.3852949,fr00
45,32017.99,12287.21,2419.736,1895.517,15495.16,480.6431,4150.251,7495.061,.3837216,fr00
46,32512.25,12303.78,2565.265,2364.133,15428.51,548.5454,4137.873,7423.263,.3784002,fr00
47,32971.9,12917.76,2414.483,1008.215,16684.47,448.2467,4476.442,7891.084,.3917026,fr00
48,33452.25,13128.18,2409.965,1289.266,16533.38,481.4521,4429.295,8085.805,.3924871,fr00
49,33945.56,13196.2,2301.326,2063.054,16648.21,586.8841,4460.173,7984.192,.3887242,fr00
50,34455.53,13700.16,1984.77,1441.518,17242.21,512.4758,4619.855,8423.642,.3976267,fr00
51,35024.99,13580.39,2400.133,1876.081,17296.68,490.4052,4634.867,8316.176,.3876532,fr00
52,35684.79,14001.07,2422.18,1804.595,17225.83,613.9584,4612.686,8584.31,.3923862,fr00
53,36242.51,14553.25,1706.1,2446.866,17683.01,712.4188,4736.688,8899.855,.4015961,fr00
54,36867.84,14791.63,2042.248,1507.26,18431.74,465.2989,4927.124,9258.24,.4012265,fr00
55,37393.09,15122.08,2275.111,1570.081,18573.28,682.8417,4975.189,9311.484,.404442,fr00
56,37875.18,15667.09,2150.227,1110.592,19245.5,644.2241,5156.511,9763.572,.4136826,fr00
57,38414.84,16049.67,1747.08,1220.121,19353.14,639.3387,5173.434,10099.4,.417844,fr00
