countryyear,hhaa_inc1_mean,hhaa_inc2_mean,hhaa_inc3_mean,hhaa_inc4_mean,hhaa_dhi_mean,hhaa_transfer_mean,hhaa_tax_mean,hhaa_allpension_mean,hhaa_pubpension_mean,hhaa_pripension_mean,hhaa_inc1_gini,hhaa_inc2_gini,hhaa_inc3_gini,hhaa_inc4_gini,hhaa_dhi_gini,hhaa_transfer_conc_inc1,hhaa_transfer_conc_inc2,hhaa_transfer_conc_inc3,hhaa_transfer_conc_inc4,hhaa_tax_conc_inc1,hhaa_tax_conc_inc2,hhaa_tax_conc_inc3,hhaa_tax_conc_inc4,hxits_mean,hsscee_mean,hsscer_mean,hssc_mean,hxits_conc_inc3,hsscee_conc_inc3,hsscer_conc_inc3,hssc_conc_inc3,inc1_mean,inc2_mean,inc3_mean,inc4_mean,dhi_mean,transfer_mean,tax_mean,allpension_mean,pubpension_mean,pripension_mean,allpension_conc_inc1,allpension_conc_inc2,allpension_conc_inc3,allpension_conc_inc4,pubpension_conc_inc1,pubpension_conc_inc2,pubpension_conc_inc3,pubpension_conc_inc4,pripension_conc_inc1,pripension_conc_inc2,pripension_conc_inc3,pripension_conc_inc4,inc1_gini,inc2_gini,inc3_gini,inc4_gini,dhi_gini,transfer_conc_inc1,transfer_conc_inc2,transfer_conc_inc3,transfer_conc_inc4,tax_conc_inc1,tax_conc_inc2,tax_conc_inc3,tax_conc_inc4,year,country,tax_kakwani,transfer_kakwani,hhaa_tax_kakwani,hhaa_transfer_kakwani,most_recent_year
fi07,40827.6265522375,42321.52332614143,46161.42798394459,28884.22088189441,29126.91517791663,3839.904641067995,17277.20705996218,1493.896773615971,1358.492579705801,135.4041950027515,.3647427454652049,.3439299188429233,.2923178861188981,.2457109390899289,.2427163550460345,-.3149287822294631,-.3324776035612436,-.2139253679361929,-.1490336540795496,.3772491979565294,.3773891454865111,.3767049132206752,.3582392611597159,1663.884214451504,0,6098.446753033631,7762.330969390282,.4081986713185396,,.4339197161557242,.4284063154098409,33210.55065351261,38446.98133564323,41894.4540026027,27104.18325664231,27312.24852013866,3447.472660585782,14790.27072650318,5236.430683501208,4929.539395559416,306.8912900931417,-.5048099105044241,-.0708471625221837,-.1407570482058819,-.0411223988282711,-.5277882333069384,-.1019498647107542,-.1763722815963805,-.075385781030926,-.1357132604614039,.4287499296254548,.4313240186271213,.5092441268885892,.4791556308467441,.3746875270847167,.326172813526838,.2690525634423528,.2665447782400993,-.1777257782994316,-.2925297138995264,-.12844641832829,-.0797959754831265,.4301062201886889,.4360552526723935,.4384473023992214,.4168596271813503,2007,Finland,.11227449,-.66721725,.084387027,-.67640752,0
fi10,41335.93832438911,42670.25335938203,46463.00600951408,29592.92487992762,29820.71625789565,3792.752664040544,16870.08111650441,1334.315045035007,1219.539610335576,114.7754346404485,.367256567209011,.3491619626041386,.2952596666860669,.2518824032014665,.2482246113758176,-.338776818290809,-.3532601914660564,-.2633661141076483,-.2344163167572447,.3765328407103353,.3753912596499807,.3768828896225785,.3615306042964364,1776.268674003804,0,5634.161030358119,7410.429721534955,.4200563325522259,,.4387089588289005,.4342379533499414,32676.84785866438,38592.6126156719,41871.91014872005,27762.63839687659,27948.46044367111,3279.297526594424,14109.2717333941,5915.764768835873,5600.262890977362,315.5018737161657,-.5051200521321302,-.0471321692924083,-.1158853905061573,.0081287095818616,-.5305854540739287,-.0749388951831701,-.148163134288726,-.0229101269274773,-.0531007270408564,.4464464289339992,.4570552566684758,.5590783426700769,.4892655597711187,.3716859241841547,.323177023177369,.266259075025566,.2632154788248012,-.1746529140542508,-.3108735909530032,-.1751134211113048,-.1694687079319687,.4345455895587119,.437481508351121,.4434521069140196,.4203398158824419,2010,Finland,.12027508,-.68255949,.081623226,-.70242214,0
fi13,42232.54219954715,43587.45276078139,47451.50174120183,29636.68847476846,29887.43681642548,3864.048920127014,17814.81319499194,1354.910562576222,1242.256263275933,112.6543012014852,.3710519551689275,.3530280274980828,.296932770699105,.2487187784763465,.2445841139283984,-.3608334916083148,-.376499374718833,-.2886117804137733,-.25607968917044,.3818130905264592,.3813102168985613,.3826253163515321,.3668860446496822,1901.975760875172,0,5830.54835347829,7732.524114010177,.4270900057072748,,.444819444342555,.4404585184973044,33137.90247626753,39664.30558805492,42838.3134939274,27983.2298695395,28179.73827918584,3174.007871149031,14855.08357402372,6526.403103336991,6229.546441673264,296.8566580088714,-.4869042037597814,-.0257504791226656,-.095085821208932,.0301674063058033,-.507656377949958,-.0482397966199818,-.120793229172229,.0056713054703837,-.0514191629480378,.4461885611836297,.4443849487413991,.544218854974427,.4978558611782987,.3733279457009748,.3253492003571543,.2639969953701388,.2608709869708891,-.1819805161588689,-.3353559516871244,-.2021460027819057,-.2010528573332711,.4377975941095705,.443075921783687,.4492078567854222,.4254870876609609,2013,Finland,.12385865,-.70868391,.085692547,-.72952741,1
fr00,38732.91902254719,39537.2350503231,42311.43029285905,24061.29820796382,22820.59898262916,2774.195227800522,18250.13206761389,804.3160225790582,801.3092707005527,3.006751764205505,.3992797168887983,.3881623212101766,.3383138064611617,.2751272183398811,.2505933828103264,-.3968146412951554,-.4076652124848353,-.332074452917199,-.2521340930636314,.432340488337469,.4305262459307443,.4285678882018579,.4073148066749936,4456.565811820861,4456.565811820861,8814.129505349094,13270.69531695604,.4467262427161062,.4467262427273373,.5051694851226255,.4855430714626364,31520.40733243911,36132.54392057691,38456.3762558568,23447.79666097158,22302.96777250411,2323.832323239409,15008.57956851557,4612.136577107702,4587.813568417425,24.32300832595002,-.5001206325015989,-.0149103080925367,-.0742692041472835,.1961374886371169,-.5015123965131318,-.0177951966248936,-.0774431477192714,.1936261765042208,-.237605664494679,.5292382643993652,.5244010128536445,.6698219881628558,.4952885451589484,.3987073505955745,.3559933255080652,.2818586705391722,.2562527379843727,-.2323754278848432,-.3635768884664574,-.246507966407378,-.2160222583632714,.5081446085517723,.4890010417308953,.4919262759847467,.4339965041372201,2000,France,.13593295,-.76228422,.090254083,-.79582751,0
fr05,38013.0334838884,39041.84346924913,41816.58749936698,24326.63113081687,23415.06488598549,2774.743968534025,17489.95630912514,1028.809988405623,1021.524011328153,7.285977112071238,.39137800540935,.3773020952847083,.3283497780452078,.2719437861317019,.2555818837098969,-.3865545371059767,-.404166270277859,-.31122110337896,-.2248115527280425,.4216251930724094,.418143028595014,.4161341671179111,.3874489140276128,4333.39223430844,4333.39223430844,8415.501745123636,12748.89397925195,.4337146867743782,.4337146867690682,.4914385196310155,.4718179933420875,30785.09927351516,36132.9532156876,38474.93311059902,24183.58023829191,23289.8463993513,2341.979843120027,14291.35282882366,5347.85394640596,5334.53125380919,13.32269292880491,-.4683263548412551,.0486984150731847,-.0043386346207838,.2734776988778603,-.469842453466261,.0476980018995851,-.0054152256571131,.2726131924258622,.1387337462045485,.4492732148908877,.4267385214614903,.6196341222774416,.4908718780955681,.3868715026523236,.3447808508548869,.2820945160692811,.2647373790129364,-.2398824893157651,-.3787162435446313,-.2350929192156404,-.2049892281750836,.5017340824390673,.4738959842942784,.4772607887223543,.4026579172707156,2005,France,.13247994,-.76558775,.087784387,-.78146839,0
fr10,42960.00862314604,44084.42829709585,47228.46404224782,27144.51474964028,26898.70928181898,3144.03569104794,20083.94923528047,1124.41967855291,1124.41967855291,0,.4093940013487409,.3960897512063996,.3472161740772194,.2864028357598831,.2685150962128124,-.3640098158531284,-.3781893130668227,-.2950031440606614,-.2180191099439961,.4423756312071407,.4397495009787428,.4378555886069979,.4126346944896716,4797.791486003318,4797.791486003318,9625.940136418047,14423.73161990793,.4678062997686511,.4678062997762842,.5219000017610675,.5039067176612877,34433.84835033174,40294.79010948656,42908.17131698402,26690.93284525262,26408.27279288406,2613.38116667711,16217.23842640508,5860.941766429106,5852.941951665857,7.999814669531967,-.457065767982373,.0117795783104906,-.0402888148735069,.235733751568366,-.4574309318178416,.0107983135314629,-.0413225951022867,.2349244048494965,-.1898992444352459,.7297068622664729,.7160607065126081,.827879722571828,.5156756722521132,.4080811644043865,.3657286369239953,.2934616669050693,.2709523118835188,-.2077299398634768,-.3438765503174002,-.2263609505205051,-.2057306857380929,.5288571237108778,.505990120365331,.5095183902877213,.4389851487738199,2010,France,.14378975,-.75195771,.090639412,-.77427906,1
gr07,36048.39368104637,37699.56198655807,38546.02477579957,22673.73568524374,23158.20880004924,835.7858657140222,15835.66624379403,1630.485510493389,1626.7311629354,3.753725175607628,.3850469601910072,.3599944544493854,.359832169521616,.331405261026171,.3312990103164255,-.2837204212554087,-.3084728039355996,.4045832800378651,.4615191001984297,.4205848182438002,.416855421777393,.4154326158487585,.3623661927499706,2940.443168547447,2940.443168547447,5755.45042739191,8695.893601976726,.3748031369654711,.3748031370115071,.4247700715026965,.4079551238551153,28755.77981504401,33933.0283711429,34653.49231679355,21774.10315482295,22346.08299754042,709.5706945013616,12841.48568651715,5098.840131230767,5083.999062675515,14.83886129023134,-.4193818184604107,-.0048152461290599,-.0061473413862422,.1861194646243962,-.4214618181486574,-.0071354079639659,-.0084683279470018,.1840677331403131,.29324625561753,.7901415586123607,.7890881720941216,.8891008561521634,.4893680162477309,.3820538879572457,.3789192245389159,.3293757856804905,.3240958805887627,-.1394280353540085,-.2366917935619764,.2825652720628272,.3397570842036461,.4978148548866277,.487384893480291,.4862526562858409,.4115275057948412,2007,Greece,.10733343,-.61874568,.055600446,-.66846728,0
gr10,29115.5104515644,31179.42931683003,31836.49632298735,19422.95763263765,20052.22216755255,632.659496802568,12252.78357371871,1987.252185777707,1984.497543652217,2.754460113161016,.4014374191555498,.3677909275562157,.3573724842163833,.3252032505000827,.3255551413542034,-.1801098646483971,-.1904112478223184,-.0835504657585583,-.0128587722639129,.4219407838527242,.4192449129625745,.4183411617219606,.388254878488168,2458.781183162285,2458.781183162285,4661.375791772805,7120.156986388886,.3929810681168103,.3929810681120799,.4468910760738724,.4286752268271983,22989.00847200419,28912.54806219797,29591.5144820055,19300.54484162286,19939.34535129962,657.2737128355767,10186.24833429762,5734.284773371761,5731.911654281666,2.377286117303109,-.4075856629762525,.066676414301798,.0658644460853861,.2298279366442952,-.4077824116938725,.0666184524903486,.0658148792860575,.229829431317373,.0663153771453352,.2052099186584963,.1843992642655369,.2252669555891607,.5209662050142975,.3803391892366406,.3685799394889739,.3255367944251397,.3218823511618977,-.1548671017083352,-.1980309900788096,-.0663084513662563,.0008872680228874,.4804497526466361,.4704930697604603,.4694593727597297,.4144187459315086,2010,Greece,.10087943,-.57837015,.060968678,-.55820215,0
gr13,19338.87345604054,20910.17041847545,21428.50867682587,13379.37292557932,13593.25591440546,509.5785644983225,8042.565191301154,1544.742704196294,1544.310433259814,.4309199531725353,.4595787153291453,.4150015750506544,.3990291421615633,.3640380609423286,.3544502954365641,-.2841804979950352,-.3186804079731037,-.1763858869627611,-.1031363553253446,.4768887883372664,.4719031894307174,.4704302900588355,.4340974397605801,1790.242871320608,1790.242871320608,2979.39812802806,4769.641001862771,.4852727004176653,.4852727002425359,.4852726993356845,.4852726990213846,14764.9600107026,19402.80882563315,19831.00178927405,13361.4934128954,13582.25578826832,421.4693135942208,6468.536515149795,4565.023524983554,4564.294004407238,.7279072117270113,-.3849435510171978,.1158389773574227,.1062880999573202,.2599571072608771,-.3850511650092121,.1157455525131029,.1061943750471534,.2598742049547838,.2894423970064608,.7021280826023413,.694403739469845,.7802816398572434,.5658079671511165,.4028594280138115,.3901446095581193,.3452880679538256,.3337761684582009,-.1140129622207827,-.2645562500966834,-.1116930544588822,-.0684239447020259,.5184015735145754,.5073557469145704,.5071098603959397,.4423881194578434,2013,Greece,.11696525,-.66741568,.071401149,-.73368198,1
ie04,35662.08082887274,36752.97085694846,40522.27929977573,30735.85527420822,31083.79352776995,3767.386019389896,9786.993237742055,1089.876735328041,1022.699645471253,67.17709019802302,.4598521490838083,.446305609615031,.3719000082071103,.3209842290911527,.3193416602773552,-.3768670122679938,-.3861100473011093,-.3159598416196339,-.2923642815556163,.5486305297876763,.5466383568195587,.5451930954679804,.5101302470641383,690.8173045002486,0,2887.931753038797,3578.749058428464,.6049020509645122,,.5085641053832983,.527123901032244,31070.53121994579,33754.31989175893,37516.14129594518,28997.72334984235,29374.42757500217,3760.593181570396,8521.710488506989,2680.362786051784,2590.374635025937,89.98815165274603,-.3630101321656855,.0774461129248176,.0143715032560675,.0995157826249467,-.3676961514536117,.0681139843037694,.0030666737958031,.0869744001481551,-.2281196450236401,.3460782523913349,.3397892718439016,.4605286341279629,.5162015260431795,.4659531649931253,.384635076538721,.3286255711524436,.3251988059565254,-.329223781109428,-.3899046741650662,-.2891690188594029,-.2702030926321085,.5928618539061259,.5895256650582404,.5892890730759571,.5527713520725897,2004,Ireland,.20465399,-.85585785,.17329308,-.83241564,0
ie07,36228.11306167633,37334.32538599963,42548.17308820647,32832.09618343433,33071.61779103537,5212.4853188069,9717.615062046072,1104.886061808331,1082.574522245728,22.31153961067123,.465015183154922,.4508863047122683,.3555704570589117,.2970152897352135,.2944981423936827,-.3632086118576353,-.3736347043551423,-.2705731291581397,-.2339685569548471,.5701150856465927,.5691487509076579,.5647779978104291,.5355976834279861,771.4793876936805,0,2958.482041723477,3729.961427742992,.6462261213200082,,.5003947060259587,.5305390708445816,32418.04718211424,35454.15566174423,40461.46513860419,31744.84643372861,31993.17438369415,5005.983806012739,8718.660052416541,3033.704551089177,2934.131708692297,99.57284327237491,-.3522756976397,.1069492101765956,.0192081542141399,.0913609397662574,-.3577659544926623,.0984532593562965,.0094198644047437,.0817724205588416,-.1905337442275963,.3572383366556377,.307569351171096,.3738369316483851,.5162261868090009,.4634737834902469,.3664720426978077,.3055786890901258,.3024062778455631,-.3140354297699289,-.3799314196305952,-.2459052878436099,-.2159425745740602,.6039055743484905,.6026989270817624,.6004747603052142,.5690905362067787,2007,Ireland,.23400272,-.84340519,.20920753,-.82452101,1
ie10,31254.84108722722,32087.32277451483,38146.33360267938,27712.98416100144,27991.70703043061,6047.192799444408,10469.64863074992,832.0299483174801,825.0385328528201,6.991415800789203,.5282147669730271,.5141933312163234,.3816870043370602,.2949329238041746,.2899241838172509,-.359152508294073,-.3678278504835619,-.2687756814141128,-.2266414803235707,.6307299468858493,.6298451282310502,.625073655857787,.5890279708465241,1144.644100922954,0,2502.872464662872,3647.51657360202,.6468176517883554,,.5592399038041268,.5866570129016703,26798.29695981788,30120.26843055501,35861.67241565487,26927.81186873126,27170.68108244628,5731.371076801697,8962.245258415665,3320.086691956562,3255.033582049103,65.05310895347098,-.3358022938934134,.2229037786942418,.1295159646266184,.2349200892219062,-.3355913600675975,.2196462331497752,.124972374676547,.2303102906122491,-.3463381879365643,.3856140117807708,.356462479291657,.4651736437055459,.5791812029802592,.5153344355931238,.3838996330337642,.2986520737727484,.2942292024989436,-.2932392142033718,-.371635952358806,-.2307130963152224,-.195879687410549,.662391456636727,.6595237543327004,.657036484860399,.6126604942893366,2010,Ireland,.27313685,-.8869704,.24338666,-.88202119,0
